Date,Open,High,Low,Close,Adj Close,Volume
2020-02-11,80.900002,80.974998,79.677498,79.902496,79.287888,94323200
2020-02-12,80.367500,81.805000,80.367500,81.800003,81.170799,113730400
2020-02-13,81.047501,81.555000,80.837502,81.217499,80.592773,94747600
2020-02-14,81.184998,81.495003,80.712502,81.237503,80.612625,80113600
2020-02-18,78.839996,79.937500,78.652496,79.750000,79.136566,152531200
2020-02-19,80.000000,81.142502,80.000000,80.904999,80.282684,93984000
2020-02-20,80.657501,81.162498,79.552498,80.074997,79.459068,100566000
2020-02-21,79.654999,80.112503,77.625000,78.262497,77.660507,129554000
2020-02-24,74.315002,76.044998,72.307503,74.544998,73.971603,222195200
2020-02-25,75.237503,75.632500,71.532501,72.019997,71.466019,230673600
2020-02-26,71.632500,74.470001,71.625000,73.162498,72.599739,198054800
2020-02-27,70.275002,71.500000,68.239998,68.379997,67.854019,320605600
2020-02-28,64.315002,69.602501,64.092499,68.339996,67.814331,426884800
2020-03-02,70.570000,75.360001,69.430000,74.702499,74.127892,341397200
2020-03-03,75.917503,76.000000,71.449997,72.330002,71.773636,319475600
2020-03-04,74.110001,75.849998,73.282501,75.684998,75.102829,219178400
2020-03-05,73.879997,74.887497,72.852501,73.230003,72.666725,187572800
2020-03-06,70.500000,72.705002,70.307503,72.257500,71.701706,226176800
2020-03-09,65.937500,69.522499,65.750000,66.542503,66.030655,286744800
2020-03-10,69.285004,71.610001,67.342499,71.334999,70.786301,285290000
2020-03-11,69.347504,70.305000,67.964996,68.857498,68.327858,255598800
2020-03-12,63.985001,67.500000,62.000000,62.057499,61.580158,418474000
2020-03-13,66.222504,69.980003,63.237499,69.492500,68.957970,370732000
2020-03-16,60.487499,64.769997,60.000000,60.552502,60.086731,322423600
2020-03-17,61.877499,64.402496,59.599998,63.215000,62.728752,324056000
2020-03-18,59.942501,62.500000,59.279999,61.667500,61.193157,300233600
2020-03-19,61.847500,63.209999,60.652500,61.195000,60.724293,271857200
2020-03-20,61.794998,62.957500,57.000000,57.310001,56.869179,401693200
2020-03-23,57.020000,57.125000,53.152500,56.092499,55.661041,336752800
2020-03-24,59.090000,61.922501,58.575001,61.720001,61.245258,287531200
2020-03-25,62.687500,64.562500,61.075001,61.380001,60.907871,303602000
2020-03-26,61.630001,64.669998,61.590000,64.610001,64.113029,252087200
2020-03-27,63.187500,63.967499,61.762501,61.935001,61.458603,204216800
2020-03-30,62.685001,63.880001,62.349998,63.702499,63.212502,167976400
2020-03-31,63.900002,65.622498,63.000000,63.572498,63.083504,197002000
2020-04-01,61.625000,62.180000,59.782501,60.227501,59.764240,176218400
2020-04-02,60.084999,61.287498,59.224998,61.232498,60.761501,165934000
2020-04-03,60.700001,61.424999,59.742500,60.352501,59.888275,129880000
2020-04-06,62.724998,65.777496,62.345001,65.617500,65.112770,201820400
2020-04-07,67.699997,67.925003,64.750000,64.857498,64.358627,202887200
2020-04-08,65.684998,66.842499,65.307503,66.517502,66.005852,168895200
2020-04-09,67.175003,67.517502,66.175003,66.997498,66.482155,162116400
2020-04-13,67.077499,68.425003,66.457497,68.312500,67.787041,131022800
2020-04-14,70.000000,72.062500,69.512497,71.762497,71.210495,194994800
2020-04-15,70.599998,71.582497,70.157501,71.107498,70.560539,131154400
2020-04-16,71.845001,72.050003,70.587502,71.672501,71.121201,157125200
2020-04-17,71.172501,71.737503,69.214996,70.699997,70.156174,215250000
2020-04-20,69.487503,70.419998,69.212502,69.232498,68.699974,130015200
2020-04-21,69.070000,69.312500,66.357498,67.092499,66.576424,180991600
2020-04-22,68.402496,69.474998,68.050003,69.025002,68.494064,117057200
2020-04-23,68.967499,70.437500,68.717499,68.757500,68.228622,124814400
2020-04-24,69.300003,70.752502,69.250000,70.742500,70.198349,126508800
2020-04-27,70.449997,71.135002,69.987503,70.792503,70.247971,117087600
2020-04-28,71.269997,71.457497,69.550003,69.644997,69.109299,112004800
2020-04-29,71.182503,72.417503,70.972504,71.932503,71.379196,137280800
